REGION;COUNTRY;REPORTYEAR;POPULATION;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx
Eastern Mediterranean;Jordan;2021;10,3;2;2;0;2;2;0;4;197;201;2;0;3;5;0;;;;;;
South-East Asia;Sri Lanka;2021;21,5;34;34;0;34;34;0;66;172;238;19;0;3;22;0;0;0;0;0;0;0
Eastern Mediterranean;Morocco;2021;37,3;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0
America;Nicaragua;2021;6,7;;;;;;;0;3;3;;;;;;;;;;;
Africa;Nigeria;2021;211,4;0;0;0;0;0;0;0;199;199;0;0;0;0;0;0;0;0;0;0;0
Western Pacific;Republic of Korea;2021;51,3;442;442;0;442;442;0;747;1480;2227;357;;1157;1514;168;167;0;167;37;13;
Eastern Mediterranean;Qatar;2022;3;10;10;0;10;10;0;16;37;53;5;0;3;8;0;2;0;2;0;0;0
South-East Asia;Thailand;2022;70,1;303;303;0;291;291;0;547;175;722;105;0;42;147;31;0;0;0;4;3;0
Eastern Mediterranean;Oman;2022;5,3;1;1;0;1;1;0;2;9;11;0;0;10;10;0;0;0;0;0;0;0
Europe;Albania;2022;2,9;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0
America;Jamaica;2022;3;0;0;0;0;0;0;0;2;2;0;0;3;3;0;0;0;0;0;0;0
Western Pacific;Japan;2022;125,6;108;93;15;108;93;15;198;1458;1656;86;0;336;422;79;94;14;108;30;27;5
Western Pacific;Mongolia;2022;3,4;3;3;0;2;2;0;4;36;40;2;0;73;75;0;0;0;0;0;0;0
Eastern Mediterranean;Saudi Arabia;2022;35,8;118;118;0;112;112;0;138;1022;1160;66;0;374;440;41;38;0;38;14;10;5
Eastern Mediterranean;Syrian Arab Republic;2022;19,4;0;0;0;0;0;0;0;329;329;0;0;0;0;0;0;0;0;0;0;0
South-East Asia;Bangladesh;2022;167,9;0;0;0;0;0;0;0;269;269;0;0;0;0;0;0;0;0;0;0;0
Africa;Ethiopia;2022;120,8;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0
Europe;Kazakhstan;2022;19,2;4;4;0;4;4;0;7;169;176;2;0;41;43;4;3;0;3;0;0;0
Western Pacific;China;2022;1,456.80;5628;3756;1872;5594;3738;1856;10187;2525;12712;5299;5;749;6053;710;798;0;798;45;45;15
Eastern Mediterranean;Kuwait;2022;4,4;32;32;0;30;30;0;49;50;99;0;0;0;0;1;0;0;0;0;0;0
Africa;Kenya;2022;56,2;0;0;0;0;0;0;0;55;55;0;0;0;0;0;0;0;0;0;0;0
Europe;Germany;2022;83,9;869;869;0;842;842;0;1431;535;1966;706;1;41;748;356;254;0;254;44;38;2
Europe;Belgium;2022;11,7;342;191;151;342;191;151;423;55;478;269;0;28;297;63;95;0;95;22;13;2
Europe;Bulgaria;2022;6,8;14;14;0;14;14;0;11;1;12;6;0;0;6;2;0;0;0;0;0;0
Europe;Cyprus;2022;1,2;4;4;0;4;4;0;8;8;16;;;;;;;;;0;0;
Europe;Croatia;2022;4,1;95;95;0;91;91;0;102;10;112;89;0;0;89;38;10;0;10;6;6;1
Europe;Denmark;2022;5,8;84;84;0;82;82;0;164;78;242;46;0;0;46;27;23;0;23;3;3;
Europe;Estonia;2022;1,3;25;25;0;25;25;0;30;4;34;9;0;0;9;;3;0;3;4;4;
Europe;Finland;2022;5,6;114;104;10;113;103;10;208;42;250;62;0;0;62;19;20;0;20;20;19;0
Europe;France;2022;65,6;1694;1459;235;1660;1428;232;2863;514;3377;1269;3;25;1294;419;342;0;342;70;68;1
Europe;Hungary;2022;9,6;122;122;0;119;119;0;190;56;246;67;0;0;67;40;12;0;12;4;4;0
Europe;Ireland;2022;5;86;73;13;82;69;13;130;33;163;51;0;0;51;10;18;0;18;8;8;0
Europe;Italy;2022;60,3;1509;1366;143;1460;1326;131;1697;336;2033;1445;2;32;1479;253;139;0;139;38;32;1
Europe;Luxembourg;2022;0,6;8;8;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Europe;Netherlands;2022;17,2;293;120;173;285;120;165;492;516;1008;185;0;26;211;51;122;0;122;26;21;1
Europe;Poland;2022;37,7;445;445;0;436;436;0;801;73;874;334;0;28;362;173;93;0;93;18;18;0
Europe;Czech Republic;2022;10,7;298;277;21;266;246;20;480;40;520;171;1;8;180;81;54;0;54;31;26;1
Europe;Slovenia;2022;2,1;54;54;0;49;49;0;51;2;53;18;0;0;18;29;10;0;10;1;1;
Europe;Spain;2022;46,7;2196;1283;913;1949;1139;810;3054;350;3404;1154;0;5;1159;311;415;0;415;92;75;4
Europe;Sweden;2022;10,2;213;166;47;206;159;47;366;99;465;166;0;0;166;55;50;0;50;18;16;1
Europe;Austria;2022;9,1;222;203;19;198;184;14;281;55;336;167;0;2;169;62;102;0;102;18;17;0
Europe;Georgia;2022;4;0;0;0;0;0;0;0;34;34;0;0;11;11;0;0;0;0;0;0;0
Europe;Iceland;2022;0,3;10;10;0;10;10;0;5;3;8;;;;;;;;;;;
Europe;Republic of Moldova;2022;4;3;3;0;3;3;0;3;0;3;3;0;4;7;;;;;;;
Europe;Norway;2022;5,5;111;104;7;109;103;6;186;43;229;91;0;1;92;30;31;0;31;4;3;
